ORDERDATE,CUSTOMERNAME,TERRITORY,PRODUCTLINE,Revenue,Profit,YEAR,MONTH,QUARTER
2023-01-05,Acme Corp,North America,Electronics,999.95,299.99,2023,January,Q1
2023-01-12,Globex,Europe,Motorcycles,269.97,80.99,2023,January,Q1
2023-01-18,Initech,Asia,Furniture,599.9,179.97,2023,January,Q1
2023-02-03,Umbrella Corp,North America,Electronics,499.98,149.99,2023,February,Q1
2023-02-14,Hooli,Europe,Furniture,559.93,167.98,2023,February,Q1
2023-02-25,Vehement Capital,Asia,Motorcycles,399.96,119.99,2023,February,Q1
2023-03-08,Stark Ind,North America,Electronics,1439.92,431.98,2023,March,Q1
2023-03-19,Wayne Ent,Europe,Furniture,419.94,125.98,2023,March,Q1
2023-03-29,Pied Piper,Asia,Motorcycles,129.99,39.0,2023,March,Q1
2023-04-05,Vandelay Ind,North America,Electronics,1439.91,431.97,2023,April,Q2
2023-04-15,Dunder Mifflin,Europe,Furniture,599.88,179.96,2023,April,Q2
2023-04-28,Bluth Company,Asia,Motorcycles,549.95,165.0,2023,April,Q2
2023-05-10,Wonka Ind,North America,Electronics,899.97,269.99,2023,May,Q2
2023-05-22,Oscorp,Europe,Furniture,379.95,113.99,2023,May,Q2
2023-06-07,Cyberdyne,Asia,Motorcycles,689.94,206.98,2023,June,Q2
2023-06-18,Tessier-Ashpool,North America,Electronics,1199.96,359.99,2023,June,Q2
2023-07-01,Rekall,Europe,Furniture,499.97,149.99,2023,July,Q3
2023-07-14,Soylent Corp,Asia,Motorcycles,359.98,108.0,2023,July,Q3
2023-08-09,Tyrell Corp,North America,Electronics,1599.95,479.99,2023,August,Q3
2023-08-25,Spacely Sprockets,Europe,Furniture,429.96,128.99,2023,August,Q3
